Date,Close,chg,nextWeekChg,signal,predictChg,PredClose,Predict,d_0,d_1,d_2,d_3,d_4,sum
2016-10-05,207.39999389648438,0.0009652362509067203,0.9797492908782897,False,1.0004119,207.48541533695607,1,1,1.0,1.0,1.0,1.0,5.0
2016-10-06,208.1999969482422,0.0038572954450379893,0.9865513780365046,False,0.99947333,208.09034495514425,0,0,1.0,1.0,1.0,1.0,4.0
2016-10-07,208.8000030517578,0.0028818737382825255,0.9741378875653807,False,0.99828833,208.4426070637919,0,0,0.0,1.0,1.0,1.0,3.0
2016-10-11,206.8000030517578,-0.009578543921305527,0.993230129909993,False,0.99750197,206.28341030312185,0,0,0.0,0.0,1.0,1.0,2.0
2016-10-12,206.0,-0.0038684866535402262,0.9970873490120601,False,0.9965756,205.29457235336304,0,0,0.0,0.0,0.0,1.0,1.0
2016-10-13,203.1999969482422,-0.013592247824067094,1.0167323287713408,True,0.99602944,202.39317847509938,0,0,0.0,0.0,0.0,0.0,0.0
2016-10-14,205.39999389648438,0.01082675679765166,1.005842318610954,True,0.996201,204.61967495614408,0,0,0.0,0.0,0.0,0.0,0.0
2016-10-17,203.39999389648438,-0.009737098634033714,1.022615566575959,True,0.9975761,202.9069762139443,0,0,0.0,0.0,0.0,0.0,0.0
2016-10-18,205.39999389648438,0.009832841986307406,1.0155794172449877,True,0.9985833,205.1090071764629,0,0,0.0,0.0,0.0,0.0,0.0
2016-10-19,205.39999389648438,0.0,1.0048685493170169,True,0.999391,205.27490927352665,0,0,0.0,0.0,0.0,0.0,0.0
2016-10-20,206.60000610351562,0.005842318610953967,0.9951597290878155,False,1.0002775,206.6573415773164,1,1,0.0,0.0,0.0,0.0,1.0
2016-10-21,206.60000610351562,0.0,0.987415266085651,False,1.0009562,206.79755242454485,1,1,1.0,0.0,0.0,0.0,2.0
2016-10-24,208.0,0.006776349734389342,0.9874999706561749,False,1.0011429,208.23771476745605,1,1,1.0,1.0,0.0,0.0,3.0
2016-10-25,208.60000610351562,0.002884644728440522,0.9875359250841756,False,1.0010722,208.82366042791546,1,1,1.0,1.0,1.0,0.0,4.0
2016-10-26,206.39999389648438,-0.010546558689646046,0.9835271608671192,False,1.0011402,206.6353387763047,1,1,1.0,1.0,1.0,1.0,5.0
2016-10-27,205.60000610351562,-0.003875909964270452,0.9737353648104726,False,1.0013493,205.87742834914752,1,1,1.0,1.0,1.0,1.0,5.0
2016-10-28,204.0,-0.007782130622652095,0.9789215536678538,False,1.0017072,204.34826803207397,1,1,1.0,1.0,1.0,1.0,5.0
2016-10-31,205.39999389648438,0.006862715178844958,0.9863681213428863,False,1.0022324,205.85853549071544,1,1,1.0,1.0,1.0,1.0,5.0
2016-11-01,206.0,0.0029211593054769835,0.9883495441918235,False,1.0028516,206.5874307155609,1,1,1.0,1.0,1.0,1.0,5.0
2016-11-02,203.0,-0.014563106796116498,0.99704430490879,False,1.0032178,203.65321671962738,1,1,1.0,1.0,1.0,1.0,5.0
2016-11-03,200.1999969482422,-0.013793118481565614,1.0229770538143659,True,1.0033525,200.87117201258843,1,1,1.0,1.0,1.0,1.0,5.0
2016-11-04,199.6999969482422,-0.002497502535573237,1.032548823732254,True,1.0029963,200.29836314002205,1,1,1.0,1.0,1.0,1.0,5.0
2016-11-07,202.60000610351562,0.014521828741064224,1.0078972892227311,True,1.0021582,203.03725034123636,1,1,1.0,1.0,1.0,1.0,5.0
2016-11-08,203.60000610351562,0.004935834007275819,0.9990176218023807,False,1.0008628,203.77567968895164,1,1,1.0,1.0,1.0,1.0,5.0
2016-11-09,202.39999389648438,-0.0058939694059789716,1.0049407116114413,True,0.9991405,202.22603130865173,0,0,1.0,1.0,1.0,1.0,4.0
2016-11-10,204.8000030517578,0.011857753101024882,0.9960937351570467,False,0.996537,204.09078673259592,0,0,0.0,1.0,1.0,1.0,3.0
2016-11-11,206.1999969482422,0.00683590759581465,0.9844811008942672,False,0.99384457,204.93074703902948,0,0,0.0,0.0,1.0,1.0,2.0
2016-11-14,204.1999969482422,-0.009699321191076526,0.9911850975579884,False,0.9911475,202.39232018311304,0,0,0.0,0.0,0.0,1.0,1.0
2016-11-15,203.39999389648438,-0.003917742721419315,1.00196661340844,True,0.9885724,201.07562392772343,0,0,0.0,0.0,0.0,0.0,0.0
2016-11-16,203.39999389648438,0.0,1.0009833442135354,True,0.98622733,200.59863362373835,0,0,0.0,0.0,0.0,0.0,0.0
2016-11-17,204.0,0.0029498826033445003,0.9990196228027343,False,0.9847415,200.88726782798767,0,0,0.0,0.0,0.0,0.0,0.0
2016-11-18,203.0,-0.004901960784313708,1.0098522167487685,True,0.9832673,199.6032633781433,0,0,0.0,0.0,0.0,0.0,0.0
2016-11-21,202.39999389648438,-0.0029556950912099644,1.0118577531010249,True,0.98169434,198.69492856708166,0,0,0.0,0.0,0.0,0.0,0.0
2016-11-22,203.8000030517578,0.0069170414895836085,0.9990186607200816,False,0.9802937,199.7838572496794,0,0,0.0,0.0,0.0,0.0,0.0
2016-11-23,203.60000610351562,-0.0009813392799183918,1.0019646065053702,True,0.9792315,199.37153464992662,0,0,0.0,0.0,0.0,0.0,0.0
2016-11-24,203.8000030517578,0.0009823032526850017,1.001962678559837,True,0.978155,199.3479954291306,0,0,0.0,0.0,0.0,0.0,0.0
2016-11-25,205.0,0.005888110550898329,0.9892683075695503,False,0.9774294,200.37302494049072,0,0,0.0,0.0,0.0,0.0,0.0
2016-11-28,204.8000030517578,-0.0009755948694740724,0.963867143334938,False,0.9772814,200.14723198633237,0,0,0.0,0.0,0.0,0.0,0.0
